Geopolitical entity (reporting),TIME_PERIOD,Bribery,Burglary,Corruption,Fraud,Intentional homicide,Kidnapping,Rape,Robbery,Sexual assault,Sexual violence,Theft,Unlawful acts involving controlled drugs or precursors
France,2023,0.42,454.44,3.78,,1.3,,61.0,92.17,70.25,131.26,1990.56,507.76
Germany,2014,,552.29,,,0.8,6.18,9.09,56.3,34.19,43.28,1636.98,342.63
Germany,2015,,571.36,,,0.81,5.87,8.65,55.01,33.55,42.2,1661.33,348.05
Germany,2016,7.91,526.59,7.91,1094.05,0.91,5.79,9.64,52.34,35.59,45.23,1570.39,368.23
Germany,2017,4.67,442.53,4.67,1103.17,0.89,5.6,10.07,47.08,32.12,42.19,1401.36,400.6
Germany,2018,4.8,394.25,4.8,1015.53,0.76,5.51,10.91,44.4,38.11,49.02,1307.46,423.54
Germany,2019,5.0,374.89,5.0,1003.34,0.71,5.44,11.53,43.43,37.52,49.05,1235.04,433.33
Germany,2020,5.01,358.75,5.01,971.63,0.86,5.49,12.17,40.73,37.22,49.39,1120.39,439.78
Germany,2021,6.15,292.43,6.15,954.39,0.76,6.09,12.52,36.23,37.74,50.26,1004.59,434.19
Germany,2022,5.92,313.09,5.92,962.81,0.74,5.88,15.09,45.89,44.61,59.7,1254.11,409.28
Germany,2023,6.39,357.84,6.39,,0.8,6.06,15.77,53.97,47.58,63.35,1410.44,417.33
Greece,2014,,399.45,,,0.96,0.53,1.23,34.78,1.75,4.26,464.09,99.34
Greece,2015,,421.76,,,0.79,0.82,1.12,39.75,2.39,5.1,507.93,99.35
Greece,2016,,414.35,,35.15,0.75,0.57,1.44,43.94,2.44,4.57,530.04,102.8
Greece,2017,1.11,181.95,8.38,30.21,0.72,0.72,1.45,39.66,2.08,4.21,860.55,118.82
Greece,2018,2.15,164.1,6.13,29.64,0.88,0.69,1.46,40.57,1.69,3.94,748.07,125.95
Greece,2019,1.77,181.8,5.73,29.91,0.71,0.67,1.7,40.42,0.65,2.83,800.26,126.76
Greece,2020,0.6,129.61,5.66,37.87,0.68,0.68,1.6,23.71,3.39,5.07,568.61,119.63
Greece,2021,2.37,125.14,7.09,80.03,0.83,0.58,2.43,22.5,6.16,9.05,551.92,112.17
Greece,2022,1.25,135.99,6.23,98.32,0.76,0.94,3.18,27.08,6.77,10.52,680.03,114.96
